Assembly	Host	Group	MGE	ID	Num
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi8_NZ_CP047691.1	6
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047691_gi10_NZ_CP047691.1	2
GCF_009909425.1_ASM990942v1	Human	Human_StrictFilt_scoary	GI	NZ_CP047692_gi12_NZ_CP047692.1	18
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP050013_gi1_NZ_CP050013.1	15
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP050013_gi2_NZ_CP050013.1	6
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP050013_gi3_NZ_CP050013.1	2
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP050013_gi4_NZ_CP050013.1	1
GCF_011602465.1_ASM1160246v1	Plant	Plant_StrictFilt_scoary	GI	NZ_CP050013_gi5_NZ_CP050013.1	5
GCF_011769885.1_ASM1176988v1	Human	Human_StrictFilt_scoary	GI	NZ_CP050447_gi2_NZ_CP050447.1	3
GCF_013122155.1_ASM1312215v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP053379_gi5_NZ_CP053379.1	41
GCF_013426135.1_ASM1342613v1	Human	Human_StrictFilt_scoary	GI	NZ_CP053925_gi5_NZ_CP053925.1	2
GCF_013426135.1_ASM1342613v1	Human	Human_StrictFilt_scoary	GI	NZ_CP053925_gi7_NZ_CP053925.1	1
GCF_013426155.1_ASM1342615v1	Human	Human_StrictFilt_scoary	GI	NZ_CP053927_gi2_NZ_CP053927.1	2
GCF_013426155.1_ASM1342615v1	Human	Human_StrictFilt_scoary	GI	NZ_CP053927_gi3_NZ_CP053927.1	1
GCF_013426155.1_ASM1342615v1	Human	Human_StrictFilt_scoary	GI	NZ_CP053927_gi4_NZ_CP053927.1	1
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	GI	NZ_CP063238_gi1_NZ_CP063238.1	2
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	GI	NZ_CP063238_gi2_NZ_CP063238.1	2
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	GI	NZ_CP063238_gi5_NZ_CP063238.1	1
GCF_015074945.1_ASM1507494v1	Human	Human_StrictFilt_scoary	GI	NZ_CP063238_gi6_NZ_CP063238.1	1
GCF_015160915.1_ASM1516091v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP063354_gi4_NZ_CP063354.1	2
GCF_015160915.1_ASM1516091v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP063355_gi7_NZ_CP063355.1	41
GCF_015708655.1_ASM1570865v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP054277_gi2_NZ_CP054277.1	3
GCF_015708655.1_ASM1570865v1	Insect	Insect_StrictFilt_scoary	GI	NZ_CP054277_gi3_NZ_CP054277.1	1
