Group	Ontology	Term	Annotation	x_1	M	n	N	P_val
Plant_scoary	KEGG	ko00624	Polycyclic aromatic hydrocarbon degradation 	1	474123	91	597	0.00601851786732
Plant_scoary	KEGG	ko00633	Nitrotoluene degradation 	1	474123	118	597	0.009921177595955
Plant_scoary	KEGG	ko00642	Ethylbenzene degradation 	3	474123	259	597	0.000353634667261
Plant_scoary	KEGG	ko00361	Chlorocyclohexane and chlorobenzene degradation 	3	474123	218	597	0.00018404534397
Plant_scoary	KEGG	ko00623	Toluene degradation 	3	474123	163	597	6.01859892216242E-05
Plant_scoary	KEGG	ko00120	Primary bile acid biosynthesis 	0	474123	1	597	0.001259166924464
Plant_scoary	KEGG	ko05100	Bacterial invasion of epithelial cells 	3	474123	93	597	6.64787610242998E-06
Unique	COG	S	Function unknown 	1023	385783	71438	4934	3.21285638350426E-05
Unique	COG	V	Defense mechanisms 	105	385783	3214	4934	7.83499547009204E-18
Unique	COG	L	Replication, recombination and repair 	483	385783	12169	4934	3.2719533004197E-105
Unique	KEGG	ko05133	Pertussis 	29	474123	1312	4916	7.33662893630558E-05
Unique	KEGG	ko05131	Shigellosis 	3	474123	4	4916	1.15440636799597E-08
Unique	KEGG	ko05100	Bacterial invasion of epithelial cells 	8	474123	93	4916	6.04522556449507E-07
Unique	KEGG	ko00232	Caffeine metabolism 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko05146	Amoebiasis 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko05206	MicroRNAs in cancer 	11	474123	114	4916	3.17187094372914E-09
Unique	KEGG	ko00120	Primary bile acid biosynthesis 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko04320	Dorso-ventral axis formation 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko05150	Staphylococcus aureus infection 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko01059	Biosynthesis of enediyne antibiotics 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko00944	Flavone and flavonol biosynthesis 	0	474123	1	4916	0.010368617424834
Unique	KEGG	ko01052	Type I polyketide structures 	0	474123	1	4916	0.010368617424834
Vir_Accessory	COG	G	Carbohydrate transport and metabolism 	114	385783	26860	1386	0.030944738777861
Vir_Accessory	COG	P	Inorganic ion transport and metabolism 	154	385783	22087	1386	3.67884063251658E-15
Vir_Accessory	COG	M	Cell wall/membrane/envelope biogenesis 	342	385783	20398	1386	8.45322800410695E-129
Vir_Accessory	COG	C	Energy production and conversion 	101	385783	18584	1386	2.19697402938759E-05
Vir_Accessory	COG	T	Signal transduction mechanisms 	64	385783	11119	1386	0.000127637325769
Vir_Accessory	COG	V	Defense mechanisms 	59	385783	3214	1386	2.37553096294854E-24
Vir_Accessory	COG	U	Intracellular trafficking, secretion, and vesicular transport 	120	385783	20532	1386	1.14734104987461E-07
Vir_Accessory	COG	N	Cell motility 	50	385783	8734	1386	0.000665385021011
Vir_Accessory	KEGG	ko00051	Fructose and mannose metabolism 	91	474123	2764	1630	2.13282154580092E-58
Vir_Accessory	KEGG	ko00520	Amino sugar and nucleotide sugar metabolism 	120	474123	4217	1630	1.69779348645172E-69
Vir_Accessory	KEGG	ko02026	Biofilm formation - Escherichia coli 	68	474123	4162	1630	6.76528141975067E-26
Vir_Accessory	KEGG	ko02010	ABC transporters 	103	474123	18862	1630	2.7115725520398E-06
Vir_Accessory	KEGG	ko03070	Bacterial secretion system 	102	474123	3094	1630	2.714702918252E-65
Vir_Accessory	KEGG	ko05111	Biofilm formation - Vibrio cholerae 	52	474123	2168	1630	8.89670156390215E-28
Vir_Accessory	KEGG	ko00230	Purine metabolism 	36	474123	6714	1630	0.004263989334329
Vir_Accessory	KEGG	ko02025	Biofilm formation - Pseudomonas aeruginosa 	166	474123	2395	1630	2.29829809601978E-157
Vir_Accessory	KEGG	ko00521	Streptomycin biosynthesis 	48	474123	966	1630	3.99024169890495E-40
Vir_Accessory	KEGG	ko00523	Polyketide sugar unit biosynthesis 	48	474123	417	1630	5.85065352312718E-58
Vir_Accessory	KEGG	ko00525	Acarbose and validamycin biosynthesis 	43	474123	190	1630	4.23730778926725E-66
Vir_Accessory	KEGG	ko01055	Biosynthesis of vancomycin group antibiotics 	21	474123	167	1630	5.66286539515176E-28
Vir_Accessory	KEGG	ko00052	Galactose metabolism 	28	474123	2315	1630	5.69420149272532E-09
Vir_Accessory	KEGG	ko05133	Pertussis 	8	474123	1312	1630	0.040243229582775
Vir_Accessory	KEGG	ko05131	Shigellosis 	0	474123	4	1630	0.013680995209215
Vir_Core	COG	T	Signal transduction mechanisms 	580	385783	11119	7804	2.02541761468098E-93
Vir_Core	COG	N	Cell motility 	2225	385783	8734	7804	0
Vir_Core	COG	H	Coenzyme transport and metabolism 	691	385783	14221	7804	5.53689097234539E-98
Vir_Core	COG	U	Intracellular trafficking, secretion, and vesicular transport 	649	385783	20532	7804	6.95460330905488E-29
Vir_Core	COG	M	Cell wall/membrane/envelope biogenesis 	1151	385783	20398	7804	5.56699439631088E-218
Vir_Core	COG	Q	Secondary metabolites biosynthesis, transport and catabolism 	218	385783	9491	7804	0.026980005098765
Vir_Core	COG	P	Inorganic ion transport and metabolism 	507	385783	22087	7804	0.001662530192907
Vir_Core	KEGG	ko02020	Two-component system 	1028	474123	12521	11751	1.14021944430086E-245
Vir_Core	KEGG	ko02030	Bacterial chemotaxis 	939	474123	2031	11751	0
Vir_Core	KEGG	ko02040	Flagellar assembly 	1842	474123	2649	11751	0
Vir_Core	KEGG	ko02026	Biofilm formation - Escherichia coli 	553	474123	4162	11751	2.98899323222283E-226
Vir_Core	KEGG	ko02024	Quorum sensing 	267	474123	8896	11751	0.000828237390323
Vir_Core	KEGG	ko05111	Biofilm formation - Vibrio cholerae 	360	474123	2168	11751	1.62428481951499E-179
Vir_Core	KEGG	ko00540	Lipopolysaccharide biosynthesis 	499	474123	2070	11751	0
Vir_Core	KEGG	ko04112	Cell cycle - Caulobacter 	36	474123	917	11751	0.003199581343076
Vir_Core	KEGG	ko04212	Longevity regulating pathway - worm 	109	474123	512	11751	1.47419698049619E-67
Vir_Core	KEGG	ko00521	Streptomycin biosynthesis 	145	474123	966	11751	1.30825882068904E-67
Vir_Core	KEGG	ko00523	Polyketide sugar unit biosynthesis 	218	474123	417	11751	1.75124953321083E-231
Vir_Core	KEGG	ko00525	Acarbose and validamycin biosynthesis 	145	474123	190	11751	1.54354673888393E-192
Vir_Core	KEGG	ko02025	Biofilm formation - Pseudomonas aeruginosa 	288	474123	2395	11751	3.00608872493063E-107
Vir_Core	KEGG	ko01503	Cationic antimicrobial peptide (CAMP) resistance 	355	474123	3740	11751	1.63149395605436E-101
Vir_Core	KEGG	ko02010	ABC transporters 	648	474123	18862	11751	1.133546500024E-16
Vir_Core	KEGG	ko00061	Fatty acid biosynthesis 	72	474123	1859	11751	0.000120078115358
Vir_Core	KEGG	ko00333	Prodigiosin biosynthesis 	72	474123	832	11751	4.86170464283355E-20
Vir_Core	KEGG	ko00780	Biotin metabolism 	72	474123	1791	11751	3.89215197415171E-05
Vir_Core	KEGG	ko01040	Biosynthesis of unsaturated fatty acids 	72	474123	943	11751	4.42650931920436E-17
Vir_Core	KEGG	ko01053	Biosynthesis of siderophore group nonribosomal peptides 	145	474123	755	11751	1.74762045500739E-82
Vir_Core	KEGG	ko01055	Biosynthesis of vancomycin group antibiotics 	72	474123	167	11751	1.46800232367704E-70
Vir_Core	KEGG	ko00520	Amino sugar and nucleotide sugar metabolism 	506	474123	4217	11751	2.99699710282517E-187
Vir_Core	KEGG	ko01501	beta-Lactam resistance 	218	474123	2882	11751	1.02289524498073E-46
Vir_Core	KEGG	ko03070	Bacterial secretion system 	214	474123	3094	11751	4.70832781664835E-40
Vir_Core	KEGG	ko04626	Plant-pathogen interaction 	72	474123	748	11751	1.10504432504317E-22
Vir_Core	KEGG	ko05133	Pertussis 	72	474123	1312	11751	3.54796061198492E-10
Vir_Core	KEGG	ko00040	Pentose and glucuronate interconversions 	215	474123	1864	11751	3.23286060456662E-77
Vir_Core	KEGG	ko00052	Galactose metabolism 	143	474123	2315	11751	8.75314828213225E-23
Vir_Core	KEGG	ko00500	Starch and sucrose metabolism 	216	474123	3353	11751	6.17052208863826E-36
Vir_Core	KEGG	ko00860	Porphyrin metabolism 	218	474123	1465	11751	1.05480908033992E-99
Vir_Core	KEGG	ko00030	Pentose phosphate pathway 	145	474123	3073	11751	2.83139150863741E-13
Vir_Core	KEGG	ko00480	Glutathione metabolism 	72	474123	1920	11751	0.000303099545006
Vir_Core	KEGG	ko03018	RNA degradation 	72	474123	1283	11751	1.34491527205451E-10
Vir_Core	KEGG	ko04940	Type I diabetes mellitus 	72	474123	73	11751	4.79180048352781E-118
Vir_Core	KEGG	ko05134	Legionellosis 	72	474123	295	11751	5.30012462036126E-50
Vir_Core	KEGG	ko05152	Tuberculosis 	72	474123	291	11751	1.8628986163694E-50
Vir_Core	KEGG	ko04213	Longevity regulating pathway - multiple species 	72	474123	365	11751	3.99614984174899E-43
Vir_Core	KEGG	ko00562	Inositol phosphate metabolism 	71	474123	1117	11751	6.39526634792242E-13
Vir_Core	KEGG	ko00565	Ether lipid metabolism 	71	474123	136	11751	1.89757930145736E-77
Vir_Core	KEGG	ko04919	Thyroid hormone signaling pathway 	71	474123	72	11751	1.94499341844761E-116
Vir_Core	KEGG	ko00053	Ascorbate and aldarate metabolism 	71	474123	1363	11751	4.03028655968152E-09
