Group	Ontology	Term	Annotation	Annotated	Significant	Expected	P_val
Core	GO:biological_process	GO:0055086	nucleobase-containing small molecule met...	11467	11415	11055.51	1E-30
Core	GO:biological_process	GO:0044283	small molecule biosynthetic process	18820	18621	18144.66	1E-30
Core	GO:biological_process	GO:1901576	organic substance biosynthetic process	55077	53855	53100.6	1E-30
Core	GO:biological_process	GO:0006396	RNA processing	7261	7259	7000.44	1E-30
Core	GO:biological_process	GO:0022613	ribonucleoprotein complex biogenesis	6846	6844	6600.34	1E-30
Core	GO:biological_process	GO:0034470	ncRNA processing	6827	6825	6582.02	1E-30
Core	GO:biological_process	GO:0042254	ribosome biogenesis	6628	6626	6390.16	1E-30
Core	GO:biological_process	GO:0065003	protein-containing complex assembly	9489	9451	9148.49	1E-30
Core	GO:biological_process	GO:0006520	cellular amino acid metabolic process	12658	12563	12203.78	1E-30
Core	GO:biological_process	GO:0009987	cellular process	113510	110056	109436.77	1E-30
Core	GO:biological_process	GO:0006725	cellular aromatic compound metabolic pro...	47908	46863	46188.85	1E-30
Core	GO:biological_process	GO:0006139	nucleobase-containing compound metabolic...	41213	40369	39734.1	1E-30
Core	GO:biological_process	GO:0009451	RNA modification	6097	6095	5878.21	1E-30
Core	GO:biological_process	GO:0008652	cellular amino acid biosynthetic process	7509	7491	7239.54	1E-30
Core	GO:biological_process	GO:0009165	nucleotide biosynthetic process	6338	6330	6110.56	1E-30
Core	GO:biological_process	GO:1901293	nucleoside phosphate biosynthetic proces...	6338	6330	6110.56	1E-30
Core	GO:biological_process	GO:1901360	organic cyclic compound metabolic proces...	49388	48253	47615.74	1E-30
Core	GO:biological_process	GO:0006753	nucleoside phosphate metabolic process	9140	9090	8812.02	1E-30
Core	GO:biological_process	GO:0009117	nucleotide metabolic process	9067	9017	8741.64	1E-30
Core	GO:biological_process	GO:0008152	metabolic process	104420	101290	100672.95	1E-30
Core	GO:biological_process	GO:1901607	alpha-amino acid biosynthetic process	6854	6836	6608.05	1E-30
Core	GO:biological_process	GO:0006399	tRNA metabolic process	5736	5731	5530.17	1E-30
Core	GO:biological_process	GO:0043604	amide biosynthetic process	11159	11065	10758.57	1E-30
Core	GO:biological_process	GO:0071704	organic substance metabolic process	92802	90118	89471.86	1E-30
Core	GO:biological_process	GO:0006091	generation of precursor metabolites and ...	6188	6175	5965.95	1E-30
Core	GO:biological_process	GO:0044281	small molecule metabolic process	37317	36520	35977.9	1E-30
Core	GO:biological_process	GO:0046483	heterocycle metabolic process	47819	46689	46103.05	1E-30
Core	GO:biological_process	GO:0034622	cellular protein-containing complex asse...	4743	4740	4572.8	1E-30
Core	GO:biological_process	GO:0044238	primary metabolic process	80113	77855	77238.2	1E-30
Core	GO:biological_process	GO:0006518	peptide metabolic process	9761	9677	9410.73	1E-30
Core	GO:biological_process	GO:1901605	alpha-amino acid metabolic process	10192	10098	9826.27	1E-30
Core	GO:biological_process	GO:0006996	organelle organization	6137	6114	5916.78	1E-30
Core	GO:biological_process	GO:0015980	energy derivation by oxidation of organi...	4583	4579	4418.54	1E-30
Core	GO:biological_process	GO:0044249	cellular biosynthetic process	54898	53490	52928.02	1E-30
Core	GO:biological_process	GO:0046390	ribose phosphate biosynthetic process	4372	4368	4215.11	1E-30
Core	GO:biological_process	GO:0070925	organelle assembly	4157	4155	4007.83	1E-30
Core	GO:biological_process	GO:0009266	response to temperature stimulus	4522	4516	4359.73	1E-30
Core	GO:biological_process	GO:0009260	ribonucleotide biosynthetic process	4299	4295	4144.73	1E-30
Core	GO:biological_process	GO:0009058	biosynthetic process	55514	54072	53521.92	1E-30
Core	GO:biological_process	GO:0008033	tRNA processing	3990	3988	3846.82	1E-30
Core	GO:biological_process	GO:0019693	ribose phosphate metabolic process	6511	6474	6277.36	1E-30
Core	GO:biological_process	GO:0043043	peptide biosynthetic process	8893	8810	8573.88	1E-30
Core	GO:biological_process	GO:0071840	cellular component organization or bioge...	22889	22456	22067.64	1E-30
Core	GO:biological_process	GO:0009408	response to heat	3643	3643	3512.27	1E-30
Core	GO:biological_process	GO:0071826	ribonucleoprotein complex subunit organi...	3868	3866	3729.2	1E-30
Core	GO:biological_process	GO:0045333	cellular respiration	3565	3565	3437.07	1E-30
Core	GO:biological_process	GO:0009066	aspartate family amino acid metabolic pr...	3557	3557	3429.36	1E-30
Core	GO:biological_process	GO:0022618	ribonucleoprotein complex assembly	3795	3793	3658.82	1E-30
Core	GO:biological_process	GO:0072522	purine-containing compound biosynthetic ...	3786	3783	3650.14	1E-30
Core	GO:biological_process	GO:0006733	oxidoreduction coenzyme metabolic proces...	3554	3553	3426.47	1E-30
Core	GO:biological_process	GO:0006412	translation	8310	8232	8011.8	1E-30
Core	GO:biological_process	GO:0006400	tRNA modification	3629	3627	3498.78	1E-30
Core	GO:biological_process	GO:0006164	purine nucleotide biosynthetic process	3713	3710	3579.76	1E-30
Core	GO:biological_process	GO:0042255	ribosome assembly	3577	3575	3448.64	1E-30
Core	GO:biological_process	GO:0009314	response to radiation	5553	5524	5353.73	1E-30
Core	GO:biological_process	GO:0006022	aminoglycan metabolic process	3414	3413	3291.49	1E-30
Core	GO:biological_process	GO:0016053	organic acid biosynthetic process	12911	12724	12447.7	1E-30
Core	GO:biological_process	GO:0046394	carboxylic acid biosynthetic process	12911	12724	12447.7	1E-30
Core	GO:biological_process	GO:0016072	rRNA metabolic process	3270	3270	3152.66	1E-30
Core	GO:biological_process	GO:0009259	ribonucleotide metabolic process	5930	5893	5717.21	1E-30
Core	GO:biological_process	GO:0000270	peptidoglycan metabolic process	3341	3340	3221.11	1E-30
Core	GO:biological_process	GO:0030203	glycosaminoglycan metabolic process	3341	3340	3221.11	1E-30
Core	GO:biological_process	GO:0009123	nucleoside monophosphate metabolic proce...	3713	3708	3579.76	1E-30
Core	GO:biological_process	GO:0009152	purine ribonucleotide biosynthetic proce...	3495	3492	3369.58	1E-30
Core	GO:biological_process	GO:0006364	rRNA processing	3124	3124	3011.9	1E-30
Core	GO:biological_process	GO:0072524	pyridine-containing compound metabolic p...	3115	3114	3003.22	1E-30
Core	GO:biological_process	GO:0072521	purine-containing compound metabolic pro...	5935	5891	5722.03	1E-30
Core	GO:biological_process	GO:0044085	cellular component biogenesis	18226	17883	17571.97	1E-30
Core	GO:biological_process	GO:0006793	phosphorus metabolic process	21355	20924	20588.69	1E-30
Core	GO:biological_process	GO:0051188	cofactor biosynthetic process	8821	8715	8504.46	1E-30
Core	GO:biological_process	GO:0043414	macromolecule methylation	3342	3337	3222.07	1E-30
Core	GO:biological_process	GO:0044271	cellular nitrogen compound biosynthetic ...	35224	34370	33960.01	1E-30
Core	GO:biological_process	GO:0009161	ribonucleoside monophosphate metabolic p...	3202	3198	3087.1	1E-30
Core	GO:biological_process	GO:0006163	purine nucleotide metabolic process	5345	5308	5153.2	1E-30
Core	GO:biological_process	GO:0071554	cell wall organization or biogenesis	2836	2835	2734.23	1E-30
Core	GO:biological_process	GO:0009628	response to abiotic stimulus	11898	11712	11471.05	1E-30
Core	GO:biological_process	GO:0001510	RNA methylation	2758	2757	2659.03	1E-30
Core	GO:biological_process	GO:0042546	cell wall biogenesis	2546	2546	2454.64	1E-30
Core	GO:biological_process	GO:0009126	purine nucleoside monophosphate metaboli...	2836	2833	2734.23	1E-30
Core	GO:biological_process	GO:0009167	purine ribonucleoside monophosphate meta...	2836	2833	2734.23	1E-30
Core	GO:biological_process	GO:0009141	nucleoside triphosphate metabolic proces...	2910	2906	2805.58	1E-30
Core	GO:biological_process	GO:0009116	nucleoside metabolic process	2772	2769	2672.53	1E-30
Core	GO:biological_process	GO:0009124	nucleoside monophosphate biosynthetic pr...	2768	2765	2668.67	1E-30
Core	GO:biological_process	GO:0009150	purine ribonucleotide metabolic process	4907	4871	4730.92	1E-30
Core	GO:biological_process	GO:0019362	pyridine nucleotide metabolic process	2534	2533	2443.07	1E-30
Core	GO:biological_process	GO:0009273	peptidoglycan-based cell wall biogenesis	2401	2401	2314.84	1E-30
Core	GO:biological_process	GO:0006796	phosphate-containing compound metabolic ...	20335	19905	19605.29	1E-30
Core	GO:biological_process	GO:0051301	cell division	3200	3191	3085.17	1E-30
Core	GO:biological_process	GO:0051128	regulation of cellular component organiz...	3870	3851	3731.13	1E-30
Core	GO:biological_process	GO:0044036	cell wall macromolecule metabolic proces...	2475	2474	2386.19	1E-30
Core	GO:biological_process	GO:0046496	nicotinamide nucleotide metabolic proces...	2462	2461	2373.65	1E-30
Core	GO:biological_process	GO:0034404	nucleobase-containing small molecule bio...	3432	3419	3308.84	1E-30
Core	GO:biological_process	GO:0006631	fatty acid metabolic process	2909	2903	2804.61	1E-30
Core	GO:biological_process	GO:0000154	rRNA modification	2323	2323	2239.64	1E-30
Core	GO:biological_process	GO:0009199	ribonucleoside triphosphate metabolic pr...	2543	2541	2451.75	1E-30
Core	GO:biological_process	GO:0009144	purine nucleoside triphosphate metabolic...	2617	2614	2523.09	1E-30
Core	GO:biological_process	GO:0032259	methylation	4164	4138	4014.58	1E-30
Core	GO:biological_process	GO:0072525	pyridine-containing compound biosyntheti...	2394	2393	2308.09	1E-30
Core	GO:biological_process	GO:0009060	aerobic respiration	2254	2254	2173.12	1E-30
Core	GO:biological_process	GO:0009156	ribonucleoside monophosphate biosyntheti...	2476	2474	2387.15	1E-30
Core	GO:biological_process	GO:0006260	DNA replication	2468	2466	2379.44	1E-30
Core	GO:biological_process	GO:0009119	ribonucleoside metabolic process	2553	2550	2461.39	1E-30
Core	GO:biological_process	GO:0010467	gene expression	28427	27740	27406.92	1E-30
Core	GO:biological_process	GO:0044038	cell wall macromolecule biosynthetic pro...	2182	2182	2103.7	1E-30
Core	GO:biological_process	GO:0070589	cellular component macromolecule biosynt...	2182	2182	2103.7	1E-30
Core	GO:biological_process	GO:0009205	purine ribonucleoside triphosphate metab...	2397	2395	2310.99	1E-30
Core	GO:biological_process	GO:0009127	purine nucleoside monophosphate biosynth...	2256	2255	2175.04	1E-30
Core	GO:biological_process	GO:0009168	purine ribonucleoside monophosphate bios...	2256	2255	2175.04	1E-30
Core	GO:biological_process	GO:0009067	aspartate family amino acid biosynthetic...	2109	2109	2033.32	1E-30
Core	GO:biological_process	GO:0072527	pyrimidine-containing compound metabolic...	3002	2991	2894.28	1E-30
Core	GO:biological_process	GO:0007049	cell cycle	2174	2173	2095.99	1E-30
Core	GO:biological_process	GO:0022402	cell cycle process	2174	2173	2095.99	1E-30
Core	GO:biological_process	GO:0070887	cellular response to chemical stimulus	4946	4900	4768.52	1E-30
Core	GO:biological_process	GO:0006023	aminoglycan biosynthetic process	2037	2037	1963.9	1E-30
Core	GO:biological_process	GO:0006024	glycosaminoglycan biosynthetic process	2037	2037	1963.9	1E-30
Core	GO:biological_process	GO:0009252	peptidoglycan biosynthetic process	2037	2037	1963.9	1E-30
Core	GO:biological_process	GO:0055114	oxidation-reduction process	19730	19295	19022	1E-30
Core	GO:biological_process	GO:0050896	response to stimulus	40027	38952	38590.66	1E-30
Core	GO:biological_process	GO:0006261	DNA-dependent DNA replication	1959	1959	1888.7	1E-30
Core	GO:biological_process	GO:0009108	coenzyme biosynthetic process	6994	6899	6743.02	1E-30
Core	GO:biological_process	GO:0046034	ATP metabolic process	2106	2104	2030.43	1E-30
Core	GO:biological_process	GO:0044272	sulfur compound biosynthetic process	3221	3203	3105.42	1.3E-30
Core	GO:biological_process	GO:0010038	response to metal ion	2475	2468	2386.19	3.1E-30
Core	GO:biological_process	GO:0019318	hexose metabolic process	1960	1959	1889.67	3.5E-30
Core	GO:biological_process	GO:0072528	pyrimidine-containing compound biosynthe...	2045	2043	1971.62	6.1E-30
Core	GO:biological_process	GO:0042274	ribosomal small subunit biogenesis	1822	1822	1756.62	7.8E-30
Core	GO:biological_process	GO:0044087	regulation of cellular component biogene...	2034	2032	1961.01	9.1E-30
Core	GO:biological_process	GO:0051641	cellular localization	1816	1816	1750.83	9.7E-30
Core	GO:biological_process	GO:0046434	organophosphate catabolic process	2778	2766	2678.31	1.3E-29
Core	GO:biological_process	GO:0019538	protein metabolic process	22569	22031	21759.13	3.7E-29
Core	GO:biological_process	GO:0000027	ribosomal large subunit assembly	1972	1970	1901.24	8.5E-29
Core	GO:biological_process	GO:0042273	ribosomal large subunit biogenesis	1972	1970	1901.24	8.5E-29
Core	GO:biological_process	GO:0031167	rRNA methylation	1742	1742	1679.49	1.5E-28
Core	GO:biological_process	GO:0009142	nucleoside triphosphate biosynthetic pro...	1819	1818	1753.73	6E-28
Core	GO:biological_process	GO:0019363	pyridine nucleotide biosynthetic process	1813	1812	1747.94	7.5E-28
Core	GO:biological_process	GO:0015949	nucleobase-containing small molecule int...	1898	1896	1829.89	1.2E-27
Core	GO:biological_process	GO:0006865	amino acid transport	3443	3417	3319.45	1.5E-27
Core	GO:biological_process	GO:0009201	ribonucleoside triphosphate biosynthetic...	1746	1745	1683.35	8.7E-27
Core	GO:biological_process	GO:0043038	amino acid activation	1743	1742	1680.45	9.7E-27
Core	GO:biological_process	GO:0019359	nicotinamide nucleotide biosynthetic pro...	1741	1740	1678.53	1E-26
Core	GO:biological_process	GO:0009084	glutamine family amino acid biosynthetic...	1602	1602	1544.51	2.7E-26
Core	GO:biological_process	GO:0008654	phospholipid biosynthetic process	2409	2399	2322.55	3.2E-26
Core	GO:biological_process	GO:0015696	ammonium transport	1891	1888	1823.14	3.8E-26
Core	GO:biological_process	GO:0090304	nucleic acid metabolic process	30111	29319	29030.49	9.1E-26
Core	GO:biological_process	GO:0006418	tRNA aminoacylation for protein translat...	1673	1672	1612.97	1.2E-25
Core	GO:biological_process	GO:0009145	purine nucleoside triphosphate biosynthe...	1673	1672	1612.97	1.2E-25
Core	GO:biological_process	GO:0009206	purine ribonucleoside triphosphate biosy...	1673	1672	1612.97	1.2E-25
Core	GO:biological_process	GO:0043039	tRNA aminoacylation	1673	1672	1612.97	1.2E-25
Core	GO:biological_process	GO:0000910	cytokinesis	1667	1666	1607.18	1.5E-25
Core	GO:biological_process	GO:0006812	cation transport	9316	9146	8981.7	2.6E-25
Core	GO:biological_process	GO:0044267	cellular protein metabolic process	17650	17242	17016.64	3.7E-25
Core	GO:biological_process	GO:0015807	L-amino acid transport	2335	2325	2251.21	3.7E-25
Core	GO:biological_process	GO:0034613	cellular protein localization	1525	1525	1470.28	4.6E-25
Core	GO:biological_process	GO:0070727	cellular macromolecule localization	1525	1525	1470.28	4.6E-25
Core	GO:biological_process	GO:0015695	organic cation transport	1818	1815	1752.76	5E-25
Core	GO:biological_process	GO:0022900	electron transport chain	2117	2110	2041.03	6.2E-25
Core	GO:biological_process	GO:0006790	sulfur compound metabolic process	6579	6478	6342.92	8.7E-25
Core	GO:biological_process	GO:0006754	ATP biosynthetic process	1600	1599	1542.59	1.8E-24
Core	GO:biological_process	GO:0003333	amino acid transmembrane transport	3150	3125	3036.96	1.8E-24
Core	GO:biological_process	GO:0009061	anaerobic respiration	1455	1455	1402.79	6.1E-24
Core	GO:biological_process	GO:0061024	membrane organization	1455	1455	1402.79	6.1E-24
Core	GO:biological_process	GO:1902475	L-alpha-amino acid transmembrane transpo...	2189	2179	2110.45	4.4E-23
Core	GO:biological_process	GO:0016070	RNA metabolic process	23380	22785	22541.02	6.8E-23
Core	GO:biological_process	GO:0044092	negative regulation of molecular functio...	1677	1674	1616.82	7.3E-23
Core	GO:biological_process	GO:0000028	ribosomal small subunit assembly	1387	1387	1337.23	7.5E-23
Core	GO:biological_process	GO:0006457	protein folding	2042	2034	1968.72	7.6E-23
Core	GO:biological_process	GO:0006090	pyruvate metabolic process	2037	2029	1963.9	9E-23
Core	GO:biological_process	GO:0022411	cellular component disassembly	1382	1382	1332.41	9E-23
Core	GO:biological_process	GO:0032984	protein-containing complex disassembly	1382	1382	1332.41	9E-23
Core	GO:biological_process	GO:0070475	rRNA base methylation	1379	1379	1329.52	1E-22
Core	GO:biological_process	GO:0002097	tRNA wobble base modification	1373	1373	1323.73	1.3E-22
Core	GO:biological_process	GO:0051259	protein complex oligomerization	3443	3409	3319.45	1.8E-22
Core	GO:biological_process	GO:0016043	cellular component organization	18017	17584	17370.47	3.2E-22
Core	GO:biological_process	GO:0043254	regulation of protein complex assembly	1451	1450	1398.93	3.9E-22
Core	GO:biological_process	GO:0009132	nucleoside diphosphate metabolic process	1597	1594	1539.69	1.2E-21
Core	GO:biological_process	GO:0009081	branched-chain amino acid metabolic proc...	1308	1308	1261.06	1.4E-21
Core	GO:biological_process	GO:0034599	cellular response to oxidative stress	1308	1308	1261.06	1.4E-21
Core	GO:biological_process	GO:0043603	cellular amide metabolic process	13315	13019	12837.2	1.6E-21
Core	GO:biological_process	GO:0032787	monocarboxylic acid metabolic process	8774	8606	8459.15	1.9E-21
Core	GO:biological_process	GO:0009163	nucleoside biosynthetic process	1384	1383	1334.34	4.4E-21
Core	GO:biological_process	GO:0042455	ribonucleoside biosynthetic process	1384	1383	1334.34	4.4E-21
Core	GO:biological_process	GO:0043094	cellular metabolic compound salvage	1384	1383	1334.34	4.4E-21
Core	GO:biological_process	GO:1901659	glycosyl compound biosynthetic process	1384	1383	1334.34	4.4E-21
Core	GO:biological_process	GO:0006644	phospholipid metabolic process	2562	2543	2470.06	4.9E-21
Core	GO:biological_process	GO:0006006	glucose metabolic process	1381	1380	1331.44	5E-21
Core	GO:biological_process	GO:0042278	purine nucleoside metabolic process	1460	1458	1407.61	7.9E-21
Core	GO:biological_process	GO:0010876	lipid localization	1237	1237	1192.61	1.9E-20
Core	GO:biological_process	GO:0042398	cellular modified amino acid biosyntheti...	1237	1237	1192.61	1.9E-20
Core	GO:biological_process	GO:0072657	protein localization to membrane	1235	1235	1190.68	2E-20
Core	GO:biological_process	GO:0006352	DNA-templated transcription, initiation	1232	1232	1187.79	2.3E-20
Core	GO:biological_process	GO:0006553	lysine metabolic process	1231	1231	1186.83	2.4E-20
Core	GO:biological_process	GO:0019748	secondary metabolic process	1710	1704	1648.64	5.3E-20
Core	GO:biological_process	GO:0046128	purine ribonucleoside metabolic process	1387	1385	1337.23	1.1E-19
Core	GO:biological_process	GO:0071241	cellular response to inorganic substance	1380	1378	1330.48	1.4E-19
Core	GO:biological_process	GO:0046031	ADP metabolic process	1377	1375	1327.59	1.5E-19
Core	GO:biological_process	GO:0034655	nucleobase-containing compound catabolic...	4350	4290	4193.9	1.6E-19
Core	GO:biological_process	GO:1901292	nucleoside phosphate catabolic process	2048	2036	1974.51	1.9E-19
Core	GO:biological_process	GO:0000041	transition metal ion transport	1452	1449	1399.9	2E-19
Core	GO:biological_process	GO:0009135	purine nucleoside diphosphate metabolic ...	1451	1448	1398.93	2E-19
Core	GO:biological_process	GO:0009179	purine ribonucleoside diphosphate metabo...	1451	1448	1398.93	2E-19
Core	GO:biological_process	GO:0009185	ribonucleoside diphosphate metabolic pro...	1451	1448	1398.93	2E-19
Core	GO:biological_process	GO:0008360	regulation of cell shape	1166	1166	1124.16	2.6E-19
Core	GO:biological_process	GO:0022603	regulation of anatomical structure morph...	1166	1166	1124.16	2.6E-19
Core	GO:biological_process	GO:0022604	regulation of cell morphogenesis	1166	1166	1124.16	2.6E-19
Core	GO:biological_process	GO:0050793	regulation of developmental process	1166	1166	1124.16	2.6E-19
Core	GO:biological_process	GO:0006869	lipid transport	1164	1164	1122.23	2.8E-19
Core	GO:biological_process	GO:0006555	methionine metabolic process	1163	1163	1121.27	2.9E-19
Core	GO:biological_process	GO:0045229	external encapsulating structure organiz...	1162	1162	1120.3	3E-19
Core	GO:biological_process	GO:0019954	asexual reproduction	1161	1161	1119.34	3.1E-19
Core	GO:biological_process	GO:0032505	reproduction of a single-celled organism	1161	1161	1119.34	3.1E-19
Core	GO:biological_process	GO:0043093	FtsZ-dependent cytokinesis	1161	1161	1119.34	3.1E-19
Core	GO:biological_process	GO:0009069	serine family amino acid metabolic proce...	2194	2179	2115.27	4.2E-19
Core	GO:biological_process	GO:0065008	regulation of biological quality	6618	6500	6380.52	4.5E-19
Core	GO:biological_process	GO:0051052	regulation of DNA metabolic process	1234	1233	1189.72	1E-18
Core	GO:biological_process	GO:0006633	fatty acid biosynthetic process	1606	1600	1548.37	1.7E-18
Core	GO:biological_process	GO:0046939	nucleotide phosphorylation	1308	1306	1261.06	1.7E-18
Core	GO:biological_process	GO:0009166	nucleotide catabolic process	1975	1963	1904.13	1.9E-18
Core	GO:biological_process	GO:0065007	biological regulation	27595	26836	26604.77	4.2E-18
Core	GO:biological_process	GO:2000142	regulation of DNA-templated transcriptio...	1086	1086	1047.03	5E-18
Core	GO:biological_process	GO:0000003	reproduction	1162	1161	1120.3	1.3E-17
Core	GO:biological_process	GO:0022414	reproductive process	1162	1161	1120.3	1.3E-17
Core	GO:biological_process	GO:0019438	aromatic compound biosynthetic process	26123	25408	25185.59	1.4E-17
Core	GO:biological_process	GO:0009636	response to toxic substance	3425	3382	3302.1	1.5E-17
Core	GO:biological_process	GO:0006805	xenobiotic metabolic process	1055	1055	1017.14	1.6E-17
Core	GO:biological_process	GO:0009410	response to xenobiotic stimulus	1055	1055	1017.14	1.6E-17
Core	GO:biological_process	GO:0071466	cellular response to xenobiotic stimulus	1055	1055	1017.14	1.6E-17
Core	GO:biological_process	GO:0043650	dicarboxylic acid biosynthetic process	1537	1531	1481.85	1.7E-17
Core	GO:biological_process	GO:1901136	carbohydrate derivative catabolic proces...	2279	2260	2197.22	1.9E-17
Core	GO:biological_process	GO:0043086	negative regulation of catalytic activit...	1317	1314	1269.74	2.1E-17
Core	GO:biological_process	GO:0071248	cellular response to metal ion	1236	1234	1191.65	2.2E-17
Core	GO:biological_process	GO:0006165	nucleoside diphosphate phosphorylation	1235	1233	1190.68	2.3E-17
Core	GO:biological_process	GO:0044093	positive regulation of molecular functio...	1314	1311	1266.85	2.4E-17
Core	GO:biological_process	GO:0009073	aromatic amino acid family biosynthetic ...	1827	1816	1761.44	3.1E-17
Core	GO:biological_process	GO:0006743	ubiquinone metabolic process	1020	1020	983.4	5.6E-17
Core	GO:biological_process	GO:0006744	ubiquinone biosynthetic process	1020	1020	983.4	5.6E-17
Core	GO:biological_process	GO:0022904	respiratory electron transport chain	1020	1020	983.4	5.6E-17
Core	GO:biological_process	GO:0006099	tricarboxylic acid cycle	1018	1018	981.47	6.1E-17
Core	GO:biological_process	GO:0006101	citrate metabolic process	1018	1018	981.47	6.1E-17
Core	GO:biological_process	GO:0009085	lysine biosynthetic process	1017	1017	980.51	6.3E-17
Core	GO:biological_process	GO:0009082	branched-chain amino acid biosynthetic p...	1016	1016	979.54	6.5E-17
Core	GO:biological_process	GO:0030258	lipid modification	1012	1012	975.69	7.6E-17
Core	GO:biological_process	GO:0006096	glycolytic process	1089	1088	1049.92	1.9E-16
Core	GO:biological_process	GO:0042866	pyruvate biosynthetic process	1089	1088	1049.92	1.9E-16
Core	GO:biological_process	GO:0030488	tRNA methylation	1088	1087	1048.96	1.9E-16
Core	GO:biological_process	GO:0009407	toxin catabolic process	983	983	947.73	2.2E-16
Core	GO:biological_process	GO:0006221	pyrimidine nucleotide biosynthetic proce...	1169	1167	1127.05	2.3E-16
Core	GO:biological_process	GO:0000902	cell morphogenesis	1168	1166	1126.09	2.4E-16
Core	GO:biological_process	GO:0009653	anatomical structure morphogenesis	1168	1166	1126.09	2.4E-16
Core	GO:biological_process	GO:0032989	cellular component morphogenesis	1168	1166	1126.09	2.4E-16
Core	GO:biological_process	GO:0048856	anatomical structure development	1168	1166	1126.09	2.4E-16
Core	GO:biological_process	GO:0048869	cellular developmental process	1168	1166	1126.09	2.4E-16
Core	GO:biological_process	GO:0032502	developmental process	1389	1384	1339.16	2.5E-16
Core	GO:biological_process	GO:0009262	deoxyribonucleotide metabolic process	1167	1165	1125.12	2.5E-16
Core	GO:biological_process	GO:0051260	protein homooligomerization	2861	2828	2758.33	2.6E-16
Core	GO:biological_process	GO:0006757	ATP generation from ADP	1162	1160	1120.3	3E-16
Core	GO:biological_process	GO:0009404	toxin metabolic process	1056	1055	1018.11	6.1E-16
Core	GO:biological_process	GO:0046364	monosaccharide biosynthetic process	946	946	912.05	8.6E-16
Core	GO:biological_process	GO:0019682	glyceraldehyde-3-phosphate metabolic pro...	945	945	911.09	8.9E-16
Core	GO:biological_process	GO:0046451	diaminopimelate metabolic process	944	944	910.13	9.3E-16
Core	GO:biological_process	GO:0002098	tRNA wobble uridine modification	939	939	905.3	1.1E-15
Core	GO:biological_process	GO:0009062	fatty acid catabolic process	939	939	905.3	1.1E-15
Core	GO:biological_process	GO:0009218	pyrimidine ribonucleotide metabolic proc...	1023	1022	986.29	2E-15
Core	GO:biological_process	GO:0043170	macromolecule metabolic process	55244	53527	53261.6	2E-15
Core	GO:biological_process	GO:0015847	putrescine transport	1014	1013	977.61	2.7E-15
Core	GO:biological_process	GO:0051716	cellular response to stimulus	20099	19562	19377.76	2.8E-15
Core	GO:biological_process	GO:0042178	xenobiotic catabolic process	910	910	877.35	3.2E-15
Core	GO:biological_process	GO:0051336	regulation of hydrolase activity	1242	1238	1197.43	3.4E-15
Core	GO:biological_process	GO:0043085	positive regulation of catalytic activit...	1170	1167	1128.02	3.4E-15
Core	GO:biological_process	GO:0015846	polyamine transport	1162	1159	1120.3	4.5E-15
Core	GO:biological_process	GO:1901362	organic cyclic compound biosynthetic pro...	28397	27589	27377.99	5.6E-15
Core	GO:biological_process	GO:0042221	response to chemical	16942	16501	16334.05	1E-14
Core	GO:biological_process	GO:0006772	thiamine metabolic process	876	876	844.57	1.1E-14
Core	GO:biological_process	GO:0042723	thiamine-containing compound metabolic p...	876	876	844.57	1.1E-14
Core	GO:biological_process	GO:0001522	pseudouridine synthesis	874	874	842.64	1.2E-14
Core	GO:biological_process	GO:0006526	arginine biosynthetic process	873	873	841.67	1.3E-14
Core	GO:biological_process	GO:0046777	protein autophosphorylation	1456	1448	1403.75	1.3E-14
Core	GO:biological_process	GO:0009086	methionine biosynthetic process	871	871	839.74	1.4E-14
Core	GO:biological_process	GO:0009089	lysine biosynthetic process via diaminop...	871	871	839.74	1.4E-14
Core	GO:biological_process	GO:0090150	establishment of protein localization to...	871	871	839.74	1.4E-14
Core	GO:biological_process	GO:0051649	establishment of localization in cell	870	870	838.78	1.4E-14
Core	GO:biological_process	GO:0097164	ammonium ion metabolic process	870	870	838.78	1.4E-14
Core	GO:biological_process	GO:0006082	organic acid metabolic process	23867	23203	23010.55	1.9E-14
Core	GO:biological_process	GO:0006220	pyrimidine nucleotide metabolic process	1616	1605	1558.01	2E-14
Core	GO:biological_process	GO:0065009	regulation of molecular function	3765	3706	3629.9	3.3E-14
Core	GO:biological_process	GO:0009850	auxin metabolic process	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0009852	auxin catabolic process	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0010124	phenylacetate catabolic process	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0010817	regulation of hormone levels	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0042445	hormone metabolic process	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0042447	hormone catabolic process	837	837	806.96	4.7E-14
Core	GO:biological_process	GO:0072488	ammonium transmembrane transport	1016	1014	979.54	5E-14
Core	GO:biological_process	GO:0043436	oxoacid metabolic process	23497	22838	22653.83	1.7E-13
Core	GO:biological_process	GO:0006413	translational initiation	802	802	773.22	1.7E-13
Core	GO:biological_process	GO:0006026	aminoglycan catabolic process	801	801	772.26	1.8E-13
Core	GO:biological_process	GO:0006573	valine metabolic process	801	801	772.26	1.8E-13
Core	GO:biological_process	GO:0062012	regulation of small molecule metabolic p...	801	801	772.26	1.8E-13
Core	GO:biological_process	GO:0030163	protein catabolic process	800	800	771.29	1.8E-13
